AG,CO_emissions_cmv,CO_emissions_commercial,CO_emissions_industrial,CO_emissions_nonroad,CO_emissions_onroad,CO_emissions_rail,CO_emissions_residential,CO_emissions_total,IND,Location_N,NO_2,OPEN,PM25_NA,PUBLIC,WATER,dev_1975_1990,dev_1990_2000,dev_2000_2014,dev_pre_1975,grass_low_veg,imperv_ground,imperv_roofs,impervious,intURB,no_dev,particulate_surface_area,percent_tree_cover,pm25,pop_per_ha,roof_AG,roof_IND,roof_intURB,roof_ruRES,roof_urbRES,ruRES,shrub_med_veg,slope,traffic,urbRES,,sqrt_traffic,,sqrt_traffic
0,0,26.50458527,0,90.21982574,360.4497986,0,234.2636414,711.4378662,0,KICLDRS8D_OUT,5.099999905,0,5.2,0,0,0.530882796,0,0,0.15848147,0.495329919,0.218137993,0.202470624,0.420608617,0,0.310635734,96.40000153,14.24329617,4.800000191,5.036624271,0,0,0,0.080144622,0.007080446,0.641759566,0,3.919784648,144.4218138,0.185899367,,12.01756272,,12.01756272
0,0,46.18526541,0,31.2042847,968.317915,0,110.5756096,1156.283047,0,KICHDRS8D_OUT,2.339999914,0,5.1,0,0,0.013784558,0,0,0.86285139,0.692170681,0.148687369,0.138155347,0.286842717,0,0.123364052,82.5,3.39526059,4.811918401,9.884381668,0,0,0,0,0.019747541,0,0,0.725181241,16.56222412,0.346782312,,4.069671254,,4.069671255
0,0,199.5067788,0,148.4539292,6475.338607,105.2633566,278.5385908,7207.101258,0.142327707,SEAI1S8D_OUT,5.159999847,0,6.549109931,0,0,0.084118724,0.002476747,0.005874567,0.493017606,0.217583812,0.271974326,0.107812812,0.379787138,0.244577811,0.414512357,106,18.81315976,6.322972558,5.464258552,0,0.042137327,0.022192809,0,0.014287527,0,0,9.265627866,1737.651566,0.339245372,,41.68514802,,41.68514803
0,0,35.12617507,0,165.3523997,327.6552005,0,145.4927307,673.6264959,0,PIEHIRES_OUT,3.609999895,0,5.131076317,0,0,0.114988123,0.182302704,0.055812375,0.067491799,0.397713133,0.107609065,0.102607368,0.210216432,0.010289959,0.579405,108.8000031,18.18826402,4.832613123,9.983465,0,0,0.001923004,0,0.086205271,0,0.00432676,2.023457137,23.94068474,0.848763244,,,,4.892921902
0,0,11.26568416,0,23.50168369,151.9561516,0,48.22983324,234.9533509,0,PIELORES_OUT,3.349999905,0,5.5,0,0,0.008727466,0.017235301,0.009848743,0.002121179,0.172364565,0.044030355,0.020229226,0.064259581,0,0.962067311,74.09999847,61.13414289,5.248153065,2.813181859,0,0,0,0.020229226,0,1,0,6.205808557,17.37730396,0,,,,4.168609356
0,0,603.4136039,0,680.575026,1690.53669,0,1034.802426,4009.327688,0,SNO_COM,3.369999886,0,5.097489629,0,0,0.801738678,0.021322176,0,0.154758875,0.210043852,0.363660573,0.297030992,0.660691565,1,0.022180271,100.5999985,1.100320158,5.145206075,59.14056741,0,0,0.297030992,0,0,0,0,2.259551147,1253.554116,0,,35.40556618,,35.40556617
0.138354082,0,29.95617376,0,32.3499123,304.1671188,2.201377897,68.46172158,437.1363232,0,SNO_LDR,3.4014343,0,4.897776408,0,0,0.232195242,0.088894367,0.036566827,0.101779038,0.608948601,0.159423148,0.103841571,0.263264719,0,0.540564526,104.8296686,8.018990098,4.640326092,2.260026835,0.004190805,0,0,0.095459961,0,0.719183204,0,2.303828689,33.75442705,0,,5.809856027,,5.809856027
0,0,1914.26634,0,849.4090422,7912.249088,0,1425.000349,12102.00521,0,SEAC1S8D_OUT,4.369999886,0,5.86350192,0,0,0.037432929,0,0,0.946632432,0.15024134,0.403348579,0.380551886,0.783900465,0.933726316,0.015934638,144.1999969,1.725478867,6.664028176,106.4244582,0,0,0.364422487,0,0.011990742,0,0,2.61030091,1958.405932,0.022543505,,44.25388042,,44.25388042
0,104.2611446,264.8033783,0,98.19253587,338.4955299,72.87635638,244.9381298,1123.567046,0,POSOUTFALL_60,3.680000067,0,6.2,0,0.153047273,0.017367273,0,0,0.982632727,0.032727273,0.878341818,0.039650909,0.917992727,0.846952727,0,101.0999985,0,6.766821911,10.30202191,0,0,0.039650909,0,0,0,0,2.962916443,0,0,,,,0
0,0.107550276,466.2876225,0,324.7671501,1991.441281,2.228834153,964.7245963,3749.557021,0,SEAR1S8D_OUT,3.789999962,0,5.503778119,0,0,0.002754233,0,0,0.997245767,0.332559853,0.237105026,0.229957791,0.467062817,0.152756643,0,88.40000153,9.063636551,6.384508055,32.33803072,0,0,0.045623868,0,0.11505808,0,0,2.203732811,646.7122033,0.401105825,,25.43053683,,25.43053683
